Date,Operation,Coin,Amount,Total,Account Balance
2023-04-23 13:49:41.398390,Deposit,1.00,2,2.00,2.00
2023-04-23 13:50:07.040848,Deposit,10.00,1,10.00,12.00
2023-04-23 13:51:14.346876,Deposit,20.00,1,20.00,32.00
2023-04-23 13:58:47.010669,Deposit,2.00,2,4.00,36.00
2023-04-23 13:59:47.418667,Deposit,2.00,2,4.00,40.00
2023-04-23 14:01:39.826194,Deposit,10.00,1,10.00,50.00
2023-04-23 14:05:10.970180,Deposit,50.00,1,50.00,100.00
2023-04-23 14:09:10.599056,Deposit,200.00,2,400.00,500.00
2023-04-23 14:12:59.622084,Deposit,100.00,1,100.00,600.00
2023-04-23 14:15:58.052017,Deposit,200.00,2,400.00,1000.00
2023-04-23 14:23:04.731938,Deposit,20.00,1,20.00,1020.00
